id, smass, sfr, mass clumpy, UVclumpy, z, O3727, O4959, O5007, hbeta, R23, sigma stars, VRe, smassxsfr, vrexvd
10462.0,10.17,0.7567121601647717,0.0,0.0,0.7096,560.7368,43.8934,132.6995,379.1355,1.944765657660652,72.1,80.18,9.927852108747272,1.1120665742024969
10902.0,10.69,0.9241241531858247,0.0,0.0,0.7095,358.7158,23.5963,109.178,599.2507,0.8201744278312899,156.8,211.06,10.394280270980536,1.3460459183673468
25243.0,10.93,1.2124539610402758,0.0,1.0,0.6294,449.6969,119.8993,138.0416,650.9747,1.0870434749614697,131.4,0.0,10.542014732467113,0.0
28945.0,10.66,0.3402457615679317,0.0,0.0,0.681,665.5466,109.3089,328.8816,96.8447,11.396979907005752,248.7,207.84,10.551121356298262,0.8357056694813029
39409.0,10.41,1.0432050388876584,0.0,0.0,0.7417,354.6886,97.1924,295.1014,376.0319,1.9864867847648036,105.9,219.49,10.07617438755595,2.0726156751652502
54714.0,10.77,1.9279141739033367,0.0,0.0,0.7387,943.6769,1550.5614,4623.001,763.7612,9.3186709406029,167.8,228.93,10.153067464350933,1.3643027413587605
56919.0,10.11,0.8948143290833008,0.0,0.0,0.687,432.3585,51.0296,144.6511,408.5197,1.537353522975759,133.0,167.83,9.823659414693344,1.2618796992481205
61242.0,10.54,1.064120905829622,0.0,0.0,0.7482,607.4417,97.9415,166.7885,679.9214,1.2827537124144055,142.0,169.15,10.19948131013452,1.1911971830985917
65508.0,10.7,1.7140529974872198,1.0,0.0,0.6606,1763.2115,1270.9408,3777.614,1832.6689,3.7168559470835127,175.5,239.51,10.151503040804087,1.3647293447293447
65699.0,10.59,1.4540059381037904,0.0,0.0,0.6622,1607.5002,146.1504,369.8823,1371.6338,1.5481777279037598,96.4,48.71,10.124718099806786,0.5052904564315353
70416.0,10.67,1.277792518931442,0.0,1.0,0.7887,590.5881,117.7244,183.3733,542.1727,1.6446527093673289,166.8,216.4,10.261106393941938,1.2973621103117503
73754.0,9.86,0.9286518466536946,1.0,1.0,0.7476,2208.8274,556.9479,1537.2059,838.6678,5.130733766099044,144.8,84.66,9.562831409070816,0.5846685082872928
80044.0,10.94,1.0226757619537274,0.0,0.0,0.838,792.2181,157.4719,409.8599,541.9376,2.5086834720454902,156.2,240.18,10.612743756174806,1.5376440460947505
86943.0,10.4,0.8857568810692674,0.0,1.0,0.604,617.5543,75.3874,217.449,524.6352,1.7352832978038832,112.9,193.33,10.116557798057835,1.712400354295837
91840.0,10.61,1.0754374615856128,0.0,1.0,0.6069,411.9424,165.5271,476.674,459.0319,2.2964493317348973,125.3,218.98,10.265860012292602,1.7476456504389466
101992.0,10.66,1.175772659601536,0.0,0.0,0.6771,603.9502,228.9951,751.0207,527.2433,3.004241116008492,127.6,152.66,10.283752748927508,1.1963949843260189
105701.0,10.6,1.3009431280805526,0.0,0.0,0.714,324.5744,115.561,369.1903,497.6091,1.6264286565498902,153.7,145.25,10.183698199014223,0.9450227716330516
109010.0,10.81,1.8046981332096304,1.0,1.0,0.725,788.9524,776.0868,2532.667,585.9779,6.992936423028924,184.6,232.48,10.23249659737292,1.2593716143011917
117232.0,10.24,0.8526019693382348,0.0,1.0,0.7164,557.5341,73.7696,183.6258,298.3689,2.7312816449703705,111.7,272.41,9.967167369811763,2.4387645478961506
123488.0,11.01,1.3456873288988471,0.0,0.0,0.6924,296.6375,174.3257,585.7457,104.0165,10.159050727528808,196.8,273.07,10.579380054752368,1.38755081300813
125253.0,10.94,1.3747666702852022,0.0,0.0,0.7497,601.0269,61.6833,586.4772,579.551,2.155439987162476,181.4,198.66,10.500074665508734,1.095148842337376
127745.0,10.76,1.082569964269923,0.0,0.0,0.731,211.6002,21.8225,223.9097,303.3768,1.507473214827238,157.2,236.71,10.413577611433624,1.505788804071247
128659.0,10.79,1.727142564161833,0.0,1.0,0.7255,737.5371,75.0956,294.3682,554.2414,1.997326255310412,132.1,182.58,10.237314379468213,1.3821347464042393
135418.0,11.11,1.2587569725365753,0.0,0.0,0.7402,600.2445,7.4552,170.3854,580.9114,1.3394212955710632,193.2,106.31,10.707197768788296,0.5502587991718427
138718.0,11.2,0.7103712642607627,0.0,0.0,0.656,136.6105,42.8941,97.3194,87.0536,3.1799259306909766,188.0,224.8,10.972681195436556,1.195744680851064
138923.0,10.19,1.139249217571607,0.0,1.0,0.7569,1072.162,73.8658,255.8714,618.9937,2.264803664399169,125.9,87.65,9.825440250377085,0.6961874503574266
147029.0,9.96,0.95433900860246,0.0,1.0,0.7519,954.0648,105.857,321.6501,565.66,2.44240692288654,147.1,141.55,9.654611517247211,0.9622705642420124
149055.0,10.0,1.3156345291000322,0.0,0.0,0.7083,1437.5348,391.5155,1103.6444,534.2849,5.489009141003236,160.7,51.86,9.578996950687989,0.322713130056005
157147.0,11.13,2.0838178347364504,1.0,1.0,0.6602,3365.8293,2684.9758,8844.876,1786.4574,8.3381115609026,199.6,172.34,10.463178292884336,0.8634268537074149
161439.0,10.59,1.1048284036536553,0.0,1.0,0.6892,471.801,67.2179,179.33,559.1966,1.2846088477648112,127.5,200.04,10.23645491083083,1.5689411764705885
162620.0,10.2,0.8213169705910973,0.0,1.0,0.7061,720.5641,58.2559,147.6679,373.0877,2.483297894838131,92.7,119.76,9.937178569410849,1.2919093851132686
180320.0,10.11,1.0939117410493782,0.0,1.0,0.7312,2164.9138,328.7607,844.3566,1051.7054,3.1739221839119582,101.2,45.4,9.759948242864198,0.4486166007905138
185803.0,10.95,1.0502637226457958,0.0,0.0,0.6737,736.9883,91.7287,232.611,306.3212,3.464755296074839,191.3,235.83,10.613915608753343,1.2327757449032932
196913.0,11.06,1.7177536932107156,0.0,0.0,0.7452,1160.2079,265.2891,1013.2083,1480.3331,1.6474030743486043,187.0,268.34,10.510318818172571,1.4349732620320854
198824.0,10.95,1.5295971612254249,0.0,1.0,0.8206,1056.4023,996.0315,2525.5522,305.0428,15.007684167598777,233.9,330.41,10.460528908407865,1.4126122274476272
200059.0,11.22,1.509860859929156,0.0,0.0,0.7945,378.4671,134.9022,664.2848,258.267,4.559831879411617,183.3,219.07,10.73684452482267,1.1951445717403164
200633.0,10.22,0.9571761304048462,0.0,1.0,0.6919,1418.1411,60.1979,190.2333,848.2501,1.9670758659503844,109.6,141.03,9.91370363827045,1.2867700729927007
205906.0,10.51,1.2388987922278405,0.0,1.0,0.6991,733.3498,167.2393,455.6291,1402.9277,0.9667056969507408,123.7,112.83,10.113552386487092,0.9121261115602264
209031.0,10.7,1.146252102092995,0.0,0.0,0.7777,432.6541,45.4074,82.3878,459.5656,1.2195196942503963,133.0,131.63,10.333199327330242,0.9896992481203007
215058.0,10.24,0.5997739391463883,0.0,0.0,0.6039,451.1403,35.707,128.6291,297.6331,2.067903065888841,107.5,188.84,10.048072339473157,1.7566511627906978
216523.0,10.24,1.189434163401028,0.0,0.0,0.6746,1615.8915,174.8164,524.5211,976.5643,2.370790126159639,108.3,167.05,9.859381067711672,1.5424746075715603
216580.0,10.95,1.2837307867778815,0.0,0.0,0.6963,1098.7437,136.6639,491.6687,915.2156,1.8870704345511595,166.5,241.37,10.539206148231075,1.4496696696696696
225097.0,10.53,0.1007150865730815,0.0,0.0,0.6121,169.4876,9.649,69.6717,74.5985,3.3352989671374087,160.7,72.39,10.497771172296613,0.4504667081518357
228931.0,10.94,1.0060807827160938,0.0,0.0,0.6967,276.9587,69.8671,208.0912,513.3575,1.0809562536828623,209.3,328.77,10.618054149530847,1.570807453416149
230481.0,11.02,1.3154455182245843,0.0,0.0,0.6946,651.8262,142.8164,445.4433,1084.0581,1.143929370575249,152.8,218.43,10.599057434168133,1.4295157068062827
234911.0,10.47,1.0699269687524724,1.0,1.0,0.7304,295.9568,31.995,216.3941,229.5473,2.371388816161201,161.0,164.41,10.12762336999921,1.0211801242236025
241820.0,10.29,1.4364171040463676,0.0,1.0,0.7015,3146.7495,555.4595,1979.9908,1746.3622,3.2537349926607435,146.9,149.31,9.830346526705162,1.0164057181756296
246882.0,10.63,1.673923595935642,0.0,0.0,0.7367,1703.3065,208.6717,604.1707,1583.6987,1.5887800501446394,119.2,86.53,10.094344449300596,0.7259228187919463
246995.0,10.73,1.4425895047075803,0.0,0.0,0.6167,1378.8855,182.6591,433.4896,1631.8685,1.2225459343078195,100.2,118.29,10.268371358493576,1.1805389221556886
256221.0,10.38,1.5220528008688226,0.0,1.0,0.8092,1674.9401,279.3732,1197.5302,1338.5439,2.354680709388762,165.6,156.85,9.892943103721976,0.9471618357487924
256256.0,10.4,1.1447609607760731,0.0,1.0,0.6998,607.9901,85.4496,187.8442,321.8992,2.7377635607668487,110.3,136.25,10.033676492551656,1.2352674524025389
