id, O3727_error, O4959_error, O5007_error, Hbeta_error,R23 Errors
6057.0,21.52,23.5639,18.079,18.4917,0.1125690609598262
10462.0,16.4071,9.5231,10.2349,14.6946,0.09441326420113101
10902.0,41.3602,24.8983,25.9696,46.4917,0.11143216579354347
25243.0,44.2376,24.545,33.5202,55.3985,0.1313351683280429
25361.0,21.4219,25.3286,14.6472,20.4773,0.1963033422983841
28099.0,14.3659,8.2545,13.2854,7.7837,0.40930137580779824
28616.0,43.9634,34.3977,32.9298,38.4352,0.1134087525413802
29014.0,11.2992,13.9068,12.9383,18.098,0.16521638916393813
29906.0,17.4073,14.2659,16.3231,11.0499,0.18198188796923795
30968.0,16.9145,30.521,20.3727,13.7699,0.2066460076231128
32841.0,17.0391,8.1695,12.8212,11.0658,0.25042281882972817
36641.0,37.9391,25.2751,30.3735,39.578,0.26613549329228076
37170.0,35.0912,18.3028,20.7719,26.6821,0.8335808313994798
39409.0,18.3678,18.047,16.255,16.6529,0.11957114909144353
40560.0,41.8106,34.5532,38.5889,36.8526,0.18178153160910057
53400.0,21.0103,12.3756,17.0876,27.5159,1.2853131966932207
54672.0,33.3653,18.2925,27.7117,31.1472,0.3248981714077929
55210.0,11.6751,8.9683,14.1983,9.5821,0.10125008791662285
55866.0,14.7903,15.2941,14.1056,14.7629,0.06174052588873288
56054.0,27.4456,17.3391,31.0148,81.2857,0.3898014329844726
56919.0,15.5845,17.3211,15.1989,14.3301,0.08686440746904768
58707.0,30.3136,21.2822,23.3968,18.2751,0.055044944661941805
58710.0,31.7051,19.9684,31.5722,23.7375,0.11175017634706116
59928.0,29.2473,8.7277,21.2625,18.6347,0.6651217986649453
60186.0,23.7397,19.9648,33.0539,24.2097,0.14138518476648815
61242.0,30.7849,36.8198,21.998,32.3736,0.09879118231785955
61327.0,17.6426,8.4637,8.1372,8.8453,0.4822213988263064
64754.0,17.0559,10.5925,10.1372,13.1331,0.08169547796937886
65508.0,15.9697,16.9533,22.5586,17.5576,0.039761853238430796
65699.0,14.1311,13.823,14.694,11.6385,0.022249304303904868
67141.0,35.6602,13.167,21.3675,33.095,0.15464084467170627
68343.0,120.9324,25.2826,60.9926,47.9116,1.217087096739835
68830.0,51.2734,21.7674,39.981,25.795,0.4773961754803149
69628.0,20.8181,25.24,28.724,15.9751,0.09834266126370723
69821.0,20.7763,21.433,17.6505,10.4217,0.05387238068996188
70416.0,25.2569,22.5861,24.3879,17.7803,0.09401046746796536
70987.0,22.9271,15.6933,27.5142,18.5683,0.03596695515247227
73754.0,14.9622,38.3141,11.9128,14.023,0.09983402089056796
75936.0,32.089,12.1297,15.607,18.9082,0.14976371246363732
76238.0,17.088,15.9105,12.2134,12.4201,0.06985203742311234
76997.0,17.6433,23.9141,25.5555,19.2967,0.31075055109589117
80044.0,27.103,15.2837,30.3312,41.8479,0.20965594604672647
83849.0,13.0515,5.447,13.4766,16.5851,0.1521938437510959
84726.0,16.6959,13.2406,18.1521,15.869,0.20297412136322557
85528.0,23.389,11.9576,20.1725,15.1471,0.10802026548041872
86610.0,33.0441,21.5346,16.4413,11.6711,0.11288213464791277
86943.0,22.9705,16.8167,16.6871,13.968,0.07804268999125855
89153.0,16.3475,18.3168,21.6178,18.2923,0.10288330408729088
89711.0,8.8064,8.5644,7.0751,11.2793,0.059854477935330296
90258.0,49.4062,47.83,57.5801,58.3143,0.054511407410384884
91840.0,24.2201,16.7993,17.1619,18.9033,0.12026865843169934
92377.0,28.3307,19.8934,13.7028,19.8211,0.0600284895317051
97159.0,7.6153,6.0969,6.2342,9.1839,0.037660828155690204
101417.0,9.3138,6.404,10.4433,8.0461,0.05389264005657739
101992.0,10.5395,8.4466,9.374,7.2312,0.05167275789413961
102571.0,19.4207,14.152,20.1738,12.9241,0.25156255872953404
103155.0,38.8392,19.5498,21.4423,44.9837,0.1018378159207961
105346.0,10.6919,10.0115,12.9815,14.0272,0.1658240555550261
105701.0,28.3652,22.5506,20.1483,39.7982,0.1544774572785489
108440.0,35.8326,12.627,15.0839,36.6624,0.40822666429758475
108513.0,14.8815,24.4663,15.1276,11.7691,0.23945944275937747
110242.0,69.3102,37.5812,57.4614,31.8388,0.14023061397901218
110586.0,14.5698,11.568,12.1563,11.9938,0.23819530128581165
110979.0,19.5684,15.353,13.6014,16.6956,0.12189585627423143
113408.0,7.5271,12.664,13.9006,6.8727,0.11017622485272507
113551.0,32.2204,22.7793,27.9823,27.5071,0.09820979037814978
117124.0,19.4875,16.4986,18.0733,17.1008,0.8500173701973393
117232.0,17.4988,8.6254,11.9243,14.1189,0.15025573143234403
118390.0,12.7146,8.6101,10.9408,10.2324,0.07705576492622215
119313.0,50.5984,24.2493,25.7718,39.5244,0.6480365365137064
121595.0,28.0124,10.0864,31.1979,20.1106,0.27606127495757593
122765.0,15.8674,7.9393,12.5467,12.5227,0.11564454203025412
124727.0,12.8436,17.9733,8.9205,14.7369,0.12227089518193036
125253.0,19.9251,21.36,41.51,22.787,0.12187173260085772
127745.0,21.0811,16.2227,49.052,26.2543,0.22549877534143453
128528.0,14.0261,12.0479,23.2983,15.8784,0.06694693037717106
128659.0,16.361,13.755,23.5251,17.8436,0.08616179542324001
130576.0,26.9041,17.6915,24.5185,28.6348,0.13139862411272454
131198.0,34.747,12.5886,24.1379,29.5403,0.04581852497049221
134501.0,6.5262,7.6573,7.5507,6.4839,0.05312161815555047
134820.0,41.3283,19.8632,21.8509,37.3513,0.06984728558158738
135418.0,17.7433,22.0296,17.2067,15.3217,0.06705549400725631
138718.0,28.6429,20.5603,41.0585,40.1296,1.5922501298086327
138923.0,23.9571,12.8653,16.6289,16.2799,0.07873814406978727
143517.0,18.0002,22.0037,31.5414,16.2424,0.2518923353794127
147029.0,13.4474,12.1307,24.5948,12.8437,0.07740137102043988
147216.0,16.6895,16.3369,22.0981,13.6644,0.28407212563834916
148746.0,28.2839,22.5011,17.9523,19.6943,0.0808308213136932
149055.0,19.6332,11.9474,15.9654,13.5145,0.1483927013567817
151148.0,13.4589,10.3427,15.3755,32.4624,0.4048771286549715
151566.0,25.7602,17.2141,19.1605,42.3672,0.1580809732584007
155731.0,13.7711,10.3161,14.4815,13.646,0.08616995601621277
156603.0,38.0731,17.7215,34.9636,44.9846,0.25827911093231415
157603.0,13.7076,13.0997,12.6751,11.1021,0.055499442049910176
158230.0,21.5884,26.1223,44.7773,24.2371,0.09974195211872057
159408.0,26.2585,11.6173,14.4135,20.4413,0.31154090984604615
159971.0,22.0052,19.1259,31.1774,18.6195,0.07524899064310853
161439.0,37.3224,12.4917,23.1832,19.612,0.09328566221129442
161465.0,6.5119,4.5284,6.0869,6.9394,0.11640192982890459
161993.0,15.3472,12.8568,20.7078,18.3483,0.07416019543733653
162620.0,24.9074,12.0821,15.358,16.9345,0.1410862990859353
165976.0,35.8858,18.9516,36.6008,24.9628,0.30285221637480647
166155.0,14.8696,14.0111,16.2024,15.5399,0.07642540903720957
166730.0,15.1198,9.565,11.1402,21.993,0.3872114577895195
167583.0,28.4026,42.7887,11.757,44.3153,0.08468915157726203
171911.0,17.2639,28.7197,19.8266,15.5059,2.9699830744311244
173352.0,12.7366,24.797,61.4324,16.3604,0.24696928703866017
180320.0,13.2339,8.246,17.5819,13.8386,0.047365161130225625
180581.0,13.2858,9.9964,13.3252,15.4413,0.08494340632140197
185803.0,54.8313,26.393,23.014,19.2409,0.3040926928166003
188347.0,6.8034,14.0329,10.3481,18.586,0.6689175113101066
189475.0,32.3103,26.6321,22.187,19.6347,0.05919111432068364
191313.0,27.5221,31.6568,25.5834,21.9487,0.1758464806810436
192679.0,15.0179,8.9174,12.5792,17.1332,0.06487946948284373
194188.0,16.9894,9.8511,53.2477,13.3764,0.5468147669617505
196913.0,61.4881,38.6828,74.6494,57.6421,0.0952153785363102
200059.0,29.8867,26.5845,38.0983,21.4654,0.43517225364096973
200633.0,24.6203,14.0523,14.9259,15.1421,0.051570461246979005
201618.0,5.3256,3.9828,5.1092,5.2095,0.06637772473148533
203338.0,27.4765,13.7604,19.0408,14.6356,0.08133729994601388
205196.0,16.7119,9.4423,9.197,13.7786,0.06997859688196124
205906.0,24.3798,15.0222,29.4517,45.3907,0.042843965450596266
206604.0,30.8055,26.8942,66.7321,21.6367,0.26578864901225874
206652.0,15.8319,10.1022,10.7132,12.7142,0.021915264714430845
207034.0,15.1258,9.0941,18.8427,10.7017,0.029455086261416775
207822.0,22.3967,14.144,17.8499,16.9784,0.1227812117839905
208640.0,14.044,14.1926,14.045,26.6943,0.11073036504054472
209031.0,17.6884,5.2199,6.3563,10.2793,0.050455994826891726
209724.0,5.3822,5.1279,8.5594,6.5629,0.16653267995800922
210736.0,32.9929,20.2831,30.6055,21.09,0.24690411824062766
212566.0,18.0327,9.2972,10.7583,13.9998,0.03397486196935293
215058.0,16.0659,8.2647,8.8611,11.8714,0.10664975944299664
216523.0,17.8806,11.5808,14.8391,12.9698,0.0412089031680373
216580.0,25.8935,22.4696,23.7198,19.1447,0.06027538312192838
220661.0,18.2688,17.5838,17.6788,17.5142,0.02739363598363253
225097.0,13.9865,19.6834,10.6527,11.9893,0.6422664399428076
225997.0,16.9681,8.3268,13.5207,20.2786,0.04139427652700136
226418.0,12.7874,8.5445,12.6554,12.1628,0.052522619884839354
226481.0,19.7565,15.3675,14.6553,21.178,0.24567174444529824
226778.0,16.15,9.451,12.7252,12.6669,0.3362758708375689
228279.0,22.7768,15.8443,14.7226,15.0621,0.0718854984102412
228931.0,27.0435,24.9958,28.7176,21.4723,0.10158522453994932
230481.0,33.8968,21.9678,33.3451,31.5648,0.05868507280518779
231274.0,36.9537,25.5285,46.9685,24.5843,0.35965888907867055
234911.0,13.6386,8.1617,28.9465,12.8645,0.1958532914867603
235128.0,10.2141,7.8531,17.2543,10.4993,0.1113869401917025
240419.0,24.9438,10.2814,16.6989,15.8423,0.1030112612818757
240675.0,33.664,40.4531,29.6838,29.0263,0.3598134151010841
241820.0,34.9462,25.5402,36.2071,33.9354,0.0710055797220987
245411.0,50.4821,46.8246,48.0094,57.3693,0.05427701604004373
246882.0,18.664,18.8742,19.2936,16.9263,0.02678953288603538
246902.0,34.3259,18.654,28.3137,23.5179,0.14652377131146221
246995.0,26.4777,21.8318,23.6116,26.5507,0.03236123269871001
247554.0,29.7713,15.7086,16.136,18.7794,0.08225882672551835
249357.0,30.5406,19.1672,21.1638,24.2323,0.11359449645072067
255749.0,19.0883,16.0292,20.9133,21.227,0.1360020826702465
256221.0,13.7858,9.7736,13.6211,18.9392,0.03705314640633044
256256.0,20.0632,14.0712,13.9986,12.2285,0.1360276306153658
257293.0,22.6531,9.6756,24.1565,12.5171,0.7992962882929434
257577.0,38.1343,15.0344,21.1058,33.7228,0.05070100489333149
261337.0,24.6057,18.4743,28.8605,25.9206,0.11474246818148305
